Title,Distr,TMDB Movie ID,Genre 1,Genre 2,Popularity,Runtime (minutes),Average Vote (/10),Overview,Tagline,Poster Path
King Kong,UIP,254,Adventure,Drama,59.745,187,6.8,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",The eighth wonder of the world.,/lBtlVlECMW98tz3a3O1C2s1vric.jpg
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BVI,411,Adventure,Family,122.339,143,7.1,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",Evil Has Reigned For 100 Years...,/kzJip9vndXYSKQHCgekrgqbnUrA.jpg
Just Friends,Momentum,10033,Comedy,Romance,20.148,96,6.2,"While visiting his hometown during Christmas, a man comes face-to-face with his old high school crush whom he was best friends with – a woman whose rejection of him turned him into a ferocious womanizer.",He loves her. She loves him not.,/jgs2mdFlx8NJzbxXTHeQxvQbN6n.jpg
Brokeback Mountain,Entertainment,142,Drama,Romance,37.427,134,7.8,"Two modern-day cowboys meet on a shepherding job in the summer of '63, the two share a raw and powerful summer together that turns into a lifelong relationship conflict",Love is a force of nature,/fsbzfe9eLOEl5rJX04nPEr1eoAi.jpg
Just Like Heaven,UIP,9007,Fantasy,Romance,23.25,95,6.9,"Shortly after David Abbott moves into his new San Francisco digs, he has an unwelcome visitor on his hands: winsome Elizabeth Martinson, who asserts that the apartment is hers -- and promptly vanishes. When she starts appearing and disappearing at will, David thinks she's a ghost, while Elizabeth is convinced she's alive.",It's a wonderful afterlife.,/aeEgEKS25GureCQRTNV5SywqvjN.jpg
Cheaper by the Dozen,20th Fox,11007,Comedy,Family,20.055,98,6.3,"The Baker brood moves to Chicago after patriarch Tom gets a job coaching football at Northwestern University, forcing his writer wife, Mary, and the couple's 12 children to make a major adjustment. The transition works well until work demands pull the parents away from home, leaving the kids bored -- and increasingly mischievous.",Growing pains? They've got twelve of them!,/afclGGoQslTYFTnyW1LRMtJMiBp.jpg
Match Point,Icon,116,Drama,Thriller,22.818,124,7.3,"Match Point is Woody Allen’s satire of the British High Society and the ambition of a young tennis instructor to enter into it. Yet when he must decide between two women - one assuring him his place in high society, and the other that would take him far from it - palms start to sweat and a dark psychological match in his head begins.",Passion Temptation Obsession.,/o33UvZ1UaQhf3w9uMfvGHaynLhY.jpg
Harry Potter and the Goblet of Fire,Warner,674,Adventure,Fantasy,211.722,157,7.8,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.",Dark And Difficult Times Lie Ahead.,/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg
Running Scared,Entertainment,7304,Action,Crime,16.938,122,7.0,"Joey Gazelle is a low level mobster whose job it is to dispose of ""hot"" guns from mob killings. But Joey has been hiding these guns in the drywall of his basement, instead of tossing them in the river. When Joey's son and his best friend, Oleg, witness Joey hiding some guns from a botched drug deal, Oleg steals one of the guns and shoots his abusive stepfather with it. Things are bad enough, but Oleg's stepfather happens to be the nephew of a psychotic Russian mob boss, who happens to be in business with Joey's crew on a gasoline scam. But now Joey's got a dirty cop from the botched drug deal on his case, not to mention the hot .38 out there on the street. As well as Oleg, who can connect Joey to the gun. And if Joey manages to make it through the night, he's still got to answer to his wife.",Every bullet leaves a trail.,/7o5cH4k71kPrbAaPvg5dZzJinkB.jpg
The Constant Gardener,UIP,1985,Drama,Mystery,17.532,129,7.0,"Justin Quayle is a low-level British diplomat who has always gone about his work very quietly, not causing any problems. But after his radical wife Tessa is killed he becomes determined to find out why, thrusting himself into the middle of a very dangerous conspiracy.",Love. At any cost.,/nkXq7V7mmJVbvwZGr3nxkHo7HkS.jpg
The Family Stone,20th Fox,9043,Comedy,Drama,12.627,103,6.3,"An uptight, conservative businesswoman accompanies her boyfriend to his eccentric and outgoing family's annual Christmas celebration and finds that she's a fish out of water in their free-spirited way of life.",Feel The Love,/3QPSWIx14H7sfaLqY5bh1qDNQhZ.jpg
Mrs Henderson Presents,Pathe,10773,Comedy,Drama,8.35,103,6.7,"Eccentric 70-year-old widow purchases the Windmill Theatre in London as a post-widowhood hobby. After starting an innovative continuous variety review, which is copied by other theaters, they begin to lose money. Mrs Henderson suggests they add female nudity similar to the Moulin Rouge in Paris",,/dBaorgYirVJfBl9DtholHQYtxXU.jpg
Nanny McPhee,UIP,11283,Fantasy,Comedy,38.546,97,6.6,"Widower Cedric Brown hires Nanny McPhee to care for his seven rambunctious children, who have chased away all previous nannies. Taunted by Simon and his siblings, Nanny McPhee uses mystical powers to instill discipline. And when the children's great-aunt and benefactor, Lady Adelaide Stitch, threatens to separate the kids, the family pulls together under the guidance of Nanny McPhee.",You'll learn to love her. Warts and all.,/j9zWPwaHDWE3K1Mb5RNahzwd3KY.jpg
Where the Truth Lies,Momentum,9729,Drama,Mystery,7.139,107,6.2,An ambitious reporter probes the reasons behind the sudden split of a 1950s comedy team.,,/4gWQoxAmSeBaugpccnWdlg5Ov6f.jpg
Mad Hot Ballroom,Metrodome,14358,Documentary,Family,4.066,105,6.9,"Eleven-year-old New York City public school kids journey into the world of ballroom dancing and reveal pieces of themselves and their world along the way. Told from their candid, sometimes hilarious perspectives, these kids are transformed, from reluctant participants to determined competitors, from typical urban kids to ""ladies and gentlemen,"" on their way to try to compete in the final citywide.",,/uq7uWpm97BGCi2esrl2pgEmxMzv.jpg
Innocence,Artificial Eye,286971,Thriller,Mystery,5.371,96,4.1,"After losing her mother in a tragic accident, Beckett Warner realizes that her troubles may be far worse—her school is run by a coven of beautiful women who perpetuate their youth by drinking the blood of virgins.",Love. Beauty. Wealth. Eternity.,/4yGCcuVPoqsHPK0aS1sdejv4iX6.jpg
Oliver Twist,Pathe,257,Crime,Drama,17.944,130,6.7,"Oliver Twist the modern filmed version of Charles Dickens bestseller, a Roman Polanski adaptation. The classic Dickens tale, where an orphan meets a pickpocket on the streets of London. From there, he joins a household of boys who are trained to steal for their master.",,/zhPdYZ3x2uanhM1SyBj4CuL6hSa.jpg
Tickets,Artificial Eye,57251,Comedy,Drama,2.278,109,6.6,"A train travels across Italy toward Rome. On board is a professor who daydreams a conversation with a love that never was, a family of Albanian refugees who switch trains and steal a ticket, three brash Scottish soccer fans en route to a match, and a complaining widow traveling to a memorial service for her late husband who's accompanied by a community-service volunteer who's assisting her. Interactions among these Europeans turn on class and nationalism, courtesy and rudeness, and opportunities for kindness.",,/gVH7dt0cDoeKm9Q4bF53Jg7Y3o0.jpg
Broken Flowers,Momentum,308,Comedy,Drama,10.197,106,6.9,"As the devoutly single Don Johnston is dumped by his latest girlfriend, he receives an anonymous pink letter informing him that he has a son who may be looking for him.",Sometimes life brings some strange surprises,/aSHkPnC0o4XPHpJC5TY3AWO6un4.jpg
Jarhead,UIP,25,Drama,War,31.238,123,6.6,"Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swofford and his unit are sent to the Persian Gulf where they are eager to fight, but are forced to stay back from the action. Swofford struggles with the possibility of his girlfriend cheating on him, and as his mental state deteriorates, his desire to kill increases.",Welcome to the suck.,/4rCzaZy5Qkvxh5xaVpHriXSLTgC.jpg
Memoirs of a Geisha,BVI,1904,Drama,Romance,34.121,146,7.7,"A sweeping romantic epic set in Japan in the years before World War II, a penniless Japanese child is torn from her family to work as a maid in a geisha house.","My world is as forbidden as it is fragile; without its mysteries, it cannot survive.",/pBwYsQaSTgnPphIy02DJjCF2cqs.jpg
Breakfast on Pluto,Pathe,1420,Drama,Comedy,12.262,128,7.2,"In the 1970s, a foundling lass, Patrick ""Kitten"" Braden, comes of age by leaving her Irish town for London, in part to look for her mother and in part because her transgender nature is beyond the town's understanding.",Same world. Different planet.,/14tmdb1PiLNDZf3VD29S2nUKVV0.jpg
